Zipcode,Date,Avg2Bd,Avg2BdNorm,NormCrimes,NormThefts,NormAssaults,NormHomicides,Distance_from_center,CommuteTime,Population
60601,2010-03-31 00:00:00,544665.8666666667,1.604859183464742,0.0032217790532393376,0.008126962706148107,0.001740635954717877,0.0,0.0,24.0,11110.0
60601,2010-06-30 00:00:00,530065.85,1.5906575819436626,0.0031031761071589775,0.008419695185336383,0.001157537476109849,0.0,0.0,24.0,11110.0
60601,2010-09-30 00:00:00,558889.6833333333,1.6990169958676182,0.004031133989393743,0.010413960771470228,0.0015333709846807573,0.0,0.0,24.0,11110.0
60601,2010-12-31 00:00:00,530526.9666666667,1.681932947297719,0.0038713563911437327,0.011717500811430878,0.0015851866354378915,0.0,0.0,24.0,11110.0
60601,2011-03-31 00:00:00,522103.51666666666,1.69723610614743,0.0035249741473243174,0.009166562615483069,0.0008973723784902393,0.0,0.0,24.0,11110.0
60601,2011-06-30 00:00:00,522861.23333333334,1.7010250248216332,0.0034153997727041376,0.007895801266687567,0.0016039364874763432,0.0,0.0,24.0,11110.0
60601,2011-09-30 00:00:00,550814.25,1.8108483696858295,0.003955809231793995,0.010525328939605103,0.0013147225744953844,0.0,0.0,24.0,11110.0
60601,2011-12-31 00:00:00,529696.2166666667,1.754888101546012,0.004556118944728456,0.012261790791626448,0.0013011435316464474,0.0,0.0,24.0,11110.0
60601,2012-03-31 00:00:00,537837.9666666667,1.7900656512089455,0.003177173070277974,0.009047343093978514,0.0013212073048834991,0.0,0.0,24.0,11110.0
60601,2012-06-30 00:00:00,577915.2166666667,1.91787198074622,0.003695339853536083,0.008847186149788612,0.0006367871768460759,0.0,0.0,24.0,11110.0
60601,2012-09-30 00:00:00,542652.6,1.9043049773704306,0.004313672722825746,0.011358074591571642,0.0016681539039189895,0.0,0.0,24.0,11110.0
60601,2012-12-31 00:00:00,554506.7833333333,1.896586456329433,0.003950648309361356,0.009311353246016216,0.0016363197257950799,0.0,0.0,24.0,11110.0
60601,2013-03-31 00:00:00,604046.25,2.076247518637649,0.003907065531331549,0.008865921929437992,0.001490599307373279,0.0,0.0,24.0,11110.0
60601,2013-06-30 00:00:00,636837.9833333333,2.1133678597302112,0.004019131426646077,0.00992541205088985,0.002807060734490605,0.005128205128205128,0.0,24.0,11110.0
60601,2013-09-30 00:00:00,660915.0333333333,2.105197644553282,0.0040663337311021164,0.008480206700886846,0.0016617637600369968,0.0,0.0,24.0,11110.0
