Date,lat,lon,Primary Type
2014-10-16 21:40:00,41.885549133,-87.75375152,HOMICIDE
2014-10-16 15:10:00,41.758781037,-87.56166246,HOMICIDE
2014-10-14 00:15:00,41.968006187,-87.75836229,HOMICIDE
2014-10-12 19:27:00,41.922626214,-87.7803945,HOMICIDE
2014-10-11 01:09:00,41.880711997,-87.73626448,HOMICIDE
2014-10-11 00:20:00,41.733281864,-87.64977588,HOMICIDE
2014-10-09 04:05:00,41.801732674,-87.58501609,HOMICIDE
2014-10-08 23:02:00,41.871506971,-87.72305894,HOMICIDE
2014-10-08 14:39:00,41.699724052,-87.62793717,HOMICIDE
2014-10-06 17:25:00,41.814606884,-87.62362961,HOMICIDE
2014-10-06 15:00:00,41.795766147,-87.69005375,HOMICIDE
2014-10-04 03:35:00,41.875009249,-87.73728324,HOMICIDE
2014-10-03 21:50:00,41.702131113,-87.56383424,HOMICIDE
2014-10-02 04:00:00,41.753531539,-87.5761502,HOMICIDE
2014-09-30 17:45:00,41.76399625,-87.56100251,HOMICIDE
2014-09-30 04:17:00,41.891979343,-87.72002138,HOMICIDE
2014-09-29 23:20:00,41.869545003,-87.71948689,HOMICIDE
2014-09-28 23:42:00,41.740504871,-87.55406576,HOMICIDE
2014-09-28 20:36:00,41.773564282,-87.68995670,HOMICIDE
2014-09-28 17:50:00,41.740091146,-87.60477449,HOMICIDE
2014-09-28 08:53:00,41.942934136,-87.81040398,HOMICIDE
2014-09-28 08:53:00,41.942934136,-87.81040398,HOMICIDE
2014-09-27 16:19:00,41.775633425,-87.59716112,HOMICIDE
2014-09-27 06:59:00,41.810568672,-87.66881767,HOMICIDE
2014-09-26 22:41:00,41.789828765,-87.65218602,HOMICIDE
2014-09-26 15:00:00,41.786517322,-87.6739795,HOMICIDE
2014-09-23 10:24:00,41.744720925,-87.60393065,HOMICIDE
2014-09-22 21:35:00,41.751275738,-87.70746956,HOMICIDE
2014-09-22 21:09:00,41.754389995,-87.63454047,HOMICIDE
2014-09-20 19:37:00,41.889979651,-87.7248259,HOMICIDE
2014-09-20 18:26:00,41.782987037,-87.66523433,HOMICIDE
2014-09-20 04:55:00,41.877178687,-87.72708083,HOMICIDE
2014-09-19 21:07:00,41.753602626,-87.64275099,HOMICIDE
2014-09-18 21:52:00,41.905790131,-87.64070555,HOMICIDE
2014-09-18 21:41:00,41.653892521,-87.60229242,HOMICIDE
2014-09-17 23:42:00,41.927930258,-87.75303365,HOMICIDE
2014-09-17 17:09:00,41.783174787,-87.651878,HOMICIDE
2014-09-15 12:06:00,41.963755258,-87.66084884,HOMICIDE
2014-09-14 17:20:00,41.870485446,-87.69615625,HOMICIDE
2014-09-14 15:50:00,41.85891458,-87.72947792,HOMICIDE
2014-09-13 15:44:00,41.823130783,-87.6201161,HOMICIDE
2014-09-11 12:49:00,42.022637407,-87.67266806,HOMICIDE
2014-09-10 11:24:00,41.725738373,-87.59744893,HOMICIDE
2014-09-10 01:26:00,41.947955376,-87.75585903,HOMICIDE
2014-09-08 21:56:00,41.795152016,-87.66233191,HOMICIDE
2014-09-08 07:33:00,41.717473714,-87.61630780,HOMICIDE
2014-09-08 06:34:00,41.901038076,-87.72518016,HOMICIDE
