Zipcode,Date,Avg2Bd,Avg2BdNorm,Total_Crimes,Thefts,Assaults,Homicides,Distance_from_Chicago_Loop,Commute_Time,Population,Cluster
60601,2009-06-30 00:00:00,0.0,,,,,,0.0,24.0,11110.0,3
60601,2009-07-31 00:00:00,593967.75,,,,,,0.0,24.0,11110.0,3
60601,2009-08-31 00:00:00,583035.2,,,,,,0.0,24.0,11110.0,3
60601,2009-09-30 00:00:00,559849.75,,0.004047448693160448,0.010710401941877635,0.0005458540760778327,0.0,0.0,24.0,11110.0,3
60601,2009-10-31 00:00:00,553222.2,1.5946399166165957,0.00387489187518291,0.010016733301665201,0.0007637520139783855,0.0,0.0,24.0,11110.0,3
60601,2009-11-30 00:00:00,563997.75,1.6012269045846477,0.003863153092913883,0.010154451497155633,0.0006085356100436685,0.0,0.0,24.0,11110.0,3
60601,2009-12-31 00:00:00,580164.0,1.6190249894398199,0.003671741437868288,0.00989863499669334,0.0004984316304301794,0.0,0.0,24.0,11110.0,3
60601,2010-01-31 00:00:00,555700.6,1.6201219619137641,0.003604076404950669,0.00973196037274087,0.0005115139867103138,0.0,0.0,24.0,11110.0,3
60601,2010-02-28 00:00:00,549018.5,1.6188909617029061,0.0035357274393653794,0.009490595773151474,0.0008629713662922854,0.0,0.0,24.0,11110.0,3
60601,2010-03-31 00:00:00,529278.5,1.6125203946072246,0.0034956268364364964,0.00918881865997054,0.000997406815483497,0.0,0.0,24.0,11110.0,3
60601,2010-04-30 00:00:00,526925.75,1.6058160114944864,0.0034059830858587563,0.009129978813142274,0.001094666981382066,0.0,0.0,24.0,11110.0,3
60601,2010-05-31 00:00:00,524764.8,1.6012649679259867,0.003324482266859066,0.008874252220958894,0.001176983849052509,0.0,0.0,24.0,11110.0,3
60601,2010-06-30 00:00:00,538507.0,1.6055571052365614,0.0033728834817275395,0.008938193029742646,0.0010346957558242588,0.0,0.0,24.0,11110.0,3
60601,2010-07-31 00:00:00,546186.8,1.6106203129450594,0.0034899619320964796,0.009274403895098813,0.0010622343693891272,0.0,0.0,24.0,11110.0,3
60601,2010-08-31 00:00:00,566722.5,1.6244074805786453,0.0035750812558692697,0.009379487281321087,0.00112438808243435,0.0,0.0,24.0,11110.0,3
60601,2010-09-30 00:00:00,563759.75,1.6351542890038506,0.0035629223408625964,0.00935966815997454,0.001188160973427739,0.0,0.0,24.0,11110.0,3
60601,2010-10-31 00:00:00,544091.4,1.642410557550438,0.0036211176902463333,0.00950836034289124,0.0010627080854192926,0.0,0.0,24.0,11110.0,3
60601,2010-11-30 00:00:00,537088.75,1.6480922787398051,0.003663124627842905,0.009954255393969469,0.0011643444565508899,0.0,0.0,24.0,11110.0,3
60601,2010-12-31 00:00:00,510400.75,1.6480426162853727,0.0036437724329590453,0.010013719423180979,0.0013194619355179403,0.0,0.0,24.0,11110.0,3
60601,2011-01-31 00:00:00,513626.8,1.6508573209298842,0.003598546311031499,0.009879358789935701,0.001315741896325441,0.0,0.0,24.0,11110.0,3
60601,2011-02-28 00:00:00,534867.0,1.6577389697051363,0.003614858485139067,0.009837668470138278,0.0013249034855352202,0.0,0.0,24.0,11110.0,3
60601,2011-03-31 00:00:00,517816.75,1.6613510376976666,0.0036156099589450125,0.00979598754935651,0.0011987657436762181,0.0,0.0,24.0,11110.0,3
60601,2011-04-30 00:00:00,508368.2,1.6618138002338085,0.0035280266098129307,0.009428750056919292,0.0011688830615261046,0.0,0.0,24.0,11110.0,3
60601,2011-05-31 00:00:00,515769.5,1.662409484892837,0.0035398606695349185,0.009308248735418214,0.0011763867552048162,0.0,0.0,24.0,11110.0,3
60601,2011-06-30 00:00:00,544446.0,1.6722416263716944,0.0035735462104214324,0.009342330970958827,0.0013139148143927577,0.0,0.0,24.0,11110.0,3
60601,2011-07-31 00:00:00,546104.0,1.6844391782328145,0.0036334987540641425,0.009537717514204527,0.0012382383316803605,0.0,0.0,24.0,11110.0,3
60601,2011-08-31 00:00:00,557150.0,1.6966062332337395,0.0036732747802838417,0.009541417309209276,0.0012786308027574146,0.0,0.0,24.0,11110.0,3
60601,2011-09-30 00:00:00,549188.75,1.7065365964796309,0.003662519693651679,0.009625588500392687,0.0013228621800961552,0.0,0.0,24.0,11110.0,3
60601,2011-10-31 00:00:00,514868.0,1.7063195924223602,0.003751128497216246,0.009919658481807281,0.001345695321764082,0.0,0.0,24.0,11110.0,3
60601,2011-11-30 00:00:00,543903.25,1.7138000851711872,0.003825352143216145,0.010103644331074918,0.0014306497048659265,0.0,0.0,24.0,11110.0,3
60601,2011-12-31 00:00:00,530317.4,1.7186175588406332,0.003874557015945409,0.010248727989622388,0.0013068631171604848,0.0,0.0,24.0,11110.0,3
60601,2012-01-31 00:00:00,520657.75,1.719085984900866,0.0038311369549633837,0.010195025392751252,0.001342825077508895,0.0,0.0,24.0,11110.0,3
60601,2012-02-29 00:00:00,533018.75,1.7233446998188173,0.0037424053851612587,0.010065442116965292,0.0013672512587848185,0.0,0.0,24.0,11110.0,3
60601,2012-03-31 00:00:00,559837.4,1.7365212397206369,0.003710692728178086,0.00996123943261501,0.0013028712511154636,0.0,0.0,24.0,11110.0,3
60601,2012-04-30 00:00:00,579539.25,1.7521087203758592,0.003720457511085002,0.009866399465680882,0.0012456770983200948,0.0,0.0,24.0,11110.0,3
60601,2012-05-31 00:00:00,575294.0,1.7615244415962683,0.00372345161149639,0.009863419478498234,0.0011408110216934043,0.0,0.0,24.0,11110.0,3
