in,Zipcode,date,close
71,60602,2009-12-31 00:00:00,555468.75
72,60602,2010-01-31 00:00:00,540749.2
73,60602,2010-02-28 00:00:00,566417.25
74,60602,2010-03-31 00:00:00,533998.75
75,60602,2010-04-30 00:00:00,557611.25
76,60602,2010-05-31 00:00:00,591666.0
77,60602,2010-06-30 00:00:00,617268.25
78,60602,2010-07-31 00:00:00,608049.6
79,60602,2010-08-31 00:00:00,674028.25
80,60602,2010-09-30 00:00:00,668927.75
81,60602,2010-10-31 00:00:00,670673.0
82,60602,2010-11-30 00:00:00,702203.5
83,60602,2010-12-31 00:00:00,726774.75
84,60602,2011-01-31 00:00:00,624740.4
85,60602,2011-02-28 00:00:00,565725.0
86,60602,2011-03-31 00:00:00,522913.0
87,60602,2011-04-30 00:00:00,562099.2
88,60602,2011-05-31 00:00:00,623477.0
89,60602,2011-06-30 00:00:00,616873.75
90,60602,2011-07-31 00:00:00,609357.4
91,60602,2011-08-31 00:00:00,634589.0
92,60602,2011-09-30 00:00:00,677401.0
93,60602,2011-10-31 00:00:00,605245.4
94,60602,2011-11-30 00:00:00,623495.0
95,60602,2011-12-31 00:00:00,616445.2
96,60602,2012-01-31 00:00:00,641148.75
97,60602,2012-02-29 00:00:00,647094.5
98,60602,2012-03-31 00:00:00,543201.0
99,60602,2012-04-30 00:00:00,494038.75
100,60602,2012-05-31 00:00:00,502875.5
101,60602,2012-06-30 00:00:00,498237.4
102,60602,2012-07-31 00:00:00,494305.0
103,60602,2012-08-31 00:00:00,595112.75
104,60602,2012-09-30 00:00:00,579190.8
105,60602,2012-10-31 00:00:00,707134.0
106,60602,2012-11-30 00:00:00,375000.0
107,60602,2012-12-31 00:00:00,718784.0
108,60602,2013-01-31 00:00:00,741208.25
109,60602,2013-02-28 00:00:00,704095.25
110,60602,2013-03-31 00:00:00,664559.4
111,60602,2013-04-30 00:00:00,672910.5
112,60602,2013-05-31 00:00:00,616288.75
113,60602,2013-06-30 00:00:00,594915.0
114,60602,2013-07-31 00:00:00,540259.5
115,60602,2013-08-31 00:00:00,569696.6
116,60602,2013-09-30 00:00:00,557500.0
117,60602,2013-10-31 00:00:00,124750.0
118,60602,2013-11-30 00:00:00,215920.0
119,60602,2013-12-31 00:00:00,275231.5
120,60602,2014-01-31 00:00:00,270100.0
121,60602,2014-02-28 00:00:00,272131.25
122,60602,2014-03-31 00:00:00,475053.4
123,60602,2014-04-30 00:00:00,448649.75
124,60602,2014-05-31 00:00:00,408793.8
125,60602,2014-06-30 00:00:00,489857.25
126,60602,2014-07-31 00:00:00,635538.0
127,60602,2014-08-31 00:00:00,677490.0
128,60602,2014-09-30 00:00:00,612475.25
129,60602,2014-10-31 00:00:00,498240.0
130,60602,2014-11-30 00:00:00,572313.0
131,60602,2014-12-31 00:00:00,606296.25
132,60603,2009-07-31 00:00:00,546184.75
133,60603,2009-08-31 00:00:00,550843.2
134,60603,2009-09-30 00:00:00,548282.25
135,60603,2009-10-31 00:00:00,531565.8
136,60603,2009-11-30 00:00:00,545531.5
137,60603,2009-12-31 00:00:00,559440.0
138,60603,2010-01-31 00:00:00,635776.0
139,60603,2010-02-28 00:00:00,578384.0
140,60603,2010-03-31 00:00:00,532112.75
141,60603,2010-04-30 00:00:00,535749.0
142,60603,2010-05-31 00:00:00,565774.2
143,60603,2010-06-30 00:00:00,577979.0
144,60603,2010-07-31 00:00:00,699964.6
145,60603,2010-08-31 00:00:00,742714.5
146,60603,2010-09-30 00:00:00,751021.5
147,60603,2010-10-31 00:00:00,563856.8
148,60603,2010-11-30 00:00:00,636270.0
149,60603,2010-12-31 00:00:00,575468.5
150,60603,2011-01-31 00:00:00,499310.8
151,60603,2011-02-28 00:00:00,541678.75
152,60603,2011-03-31 00:00:00,500376.5
153,60603,2011-04-30 00:00:00,583287.8
154,60603,2011-05-31 00:00:00,522445.5
155,60603,2011-06-30 00:00:00,458526.0
156,60603,2011-07-31 00:00:00,464619.4
157,60603,2011-08-31 00:00:00,609577.0
158,60603,2011-09-30 00:00:00,374332.0
159,60603,2011-10-31 00:00:00,551583.6
160,60603,2011-11-30 00:00:00,726224.0
161,60603,2011-12-31 00:00:00,680152.8
162,60603,2012-01-31 00:00:00,674556.75
163,60603,2012-02-29 00:00:00,713924.75
164,60603,2012-03-31 00:00:00,735391.2
165,60603,2012-04-30 00:00:00,742294.25
166,60603,2012-05-31 00:00:00,742320.75
167,60603,2012-06-30 00:00:00,771691.4
168,60603,2012-07-31 00:00:00,783792.75
169,60603,2012-08-31 00:00:00,764153.75
170,60603,2012-09-30 00:00:00,748192.4
171,60603,2012-10-31 00:00:00,726752.75
172,60603,2012-11-30 00:00:00,742231.5
173,60603,2012-12-31 00:00:00,754952.6
174,60603,2013-01-31 00:00:00,715645.5
175,60603,2013-02-28 00:00:00,699096.75
176,60603,2013-03-31 00:00:00,747030.8
177,60603,2013-04-30 00:00:00,800055.25
178,60603,2013-05-31 00:00:00,810301.25
179,60603,2013-06-30 00:00:00,790102.2
180,60603,2013-07-31 00:00:00,821955.25
181,60603,2013-08-31 00:00:00,793097.4
182,60603,2013-09-30 00:00:00,772434.5
183,60603,2013-10-31 00:00:00,797284.5
184,60603,2013-11-30 00:00:00,770257.0
185,60603,2013-12-31 00:00:00,784313.0
186,60603,2014-01-31 00:00:00,768944.5
187,60603,2014-02-28 00:00:00,763436.75
188,60603,2014-03-31 00:00:00,752392.6
189,60603,2014-04-30 00:00:00,689950.75
190,60603,2014-05-31 00:00:00,718396.6
191,60603,2014-06-30 00:00:00,764356.25
192,60603,2014-07-31 00:00:00,871898.0
193,60603,2014-08-31 00:00:00,794713.6
194,60603,2014-09-30 00:00:00,734467.75
195,60603,2014-10-31 00:00:00,709845.0
196,60603,2014-11-30 00:00:00,769010.8
197,60603,2014-12-31 00:00:00,750541.75
198,60604,2009-07-31 00:00:00,643871.25
199,60604,2009-08-31 00:00:00,643917.0
200,60604,2009-09-30 00:00:00,640509.5
201,60604,2009-10-31 00:00:00,645597.8
202,60604,2009-11-30 00:00:00,661002.0
203,60604,2009-12-31 00:00:00,683680.5
204,60604,2010-01-31 00:00:00,746466.8
205,60604,2010-02-28 00:00:00,721783.75
206,60604,2010-03-31 00:00:00,667980.5
207,60604,2010-04-30 00:00:00,721762.25
208,60604,2010-05-31 00:00:00,751833.4
209,60604,2010-06-30 00:00:00,764450.0
210,60604,2010-07-31 00:00:00,682200.0
211,60604,2010-08-31 00:00:00,608640.5
212,60604,2010-09-30 00:00:00,424855.25
213,60604,2010-10-31 00:00:00,424062.0
